time_data,deal_data
2015/1/2,1172
2015/1/5,1200
2015/1/6,1210.25
2015/1/7,1210.5
2015/1/8,1215.5
2015/1/9,1217.75
2015/1/12,1226.5
2015/1/13,1231.5
2015/1/14,1235
2015/1/15,1259
2015/1/16,1277.5
2015/1/19,1273.75
2015/1/20,1288.75
2015/1/21,1293.5
2015/1/22,1295.75
2015/1/23,1294.75
2015/1/26,1281.25
2015/1/27,1288.5
2015/1/28,1288
2015/1/29,1268.75
2015/1/30,1260.25
2015/2/2,1272.5
2015/2/3,1264.25
2015/2/4,1268.5
2015/2/5,1259.25
2015/2/6,1241
2015/2/9,1238.5
2015/2/10,1234.5
2015/2/11,1223.75
2015/2/12,1222.5
2015/2/13,1232.5
2015/2/16,1229.25
2015/2/17,1209.5
2015/2/18,1206
2015/2/19,1209.5
2015/2/20,1208.25
2015/2/23,1204.5
2015/2/24,1192.5
2015/2/25,1204.75
2015/2/26,1208.25
2015/2/27,1214
2015/3/2,1212.5
2015/3/3,1212.75
2015/3/4,1199.5
2015/3/5,1202
2015/3/6,1175.75
2015/3/9,1168.5
2015/3/10,1162
2015/3/11,1150
2015/3/12,1152.25
2015/3/13,1152
2015/3/16,1150.75
2015/3/17,1150.75
2015/3/18,1147.25
2015/3/19,1166
2015/3/20,1183.1
2015/3/23,1186.25
2015/3/24,1191.5
2015/3/25,1195.6
2015/3/26,1203.15
2015/3/27,1195.75
2015/3/30,1185.5
2015/3/31,1187
2015/4/1,1197
2015/4/2,1198.5
2015/4/7,1211
2015/4/8,1207.25
2015/4/9,1194.8
2015/4/10,1207.35
2015/4/13,1198.9
2015/4/14,1194.75
2015/4/15,1192.9
2015/4/16,1204.35
2015/4/17,1203.35
2015/4/20,1196.5
2015/4/21,1195.3
2015/4/22,1189.25
2015/4/23,1185.75
2015/4/24,1183
2015/4/27,1200
2015/4/28,1209
2015/4/29,1209
2015/4/30,1180.25
2015/5/1,1175.95
2015/5/5,1197
2015/5/6,1194.25
2015/5/7,1187
2015/5/8,1186
2015/5/11,1189.25
2015/5/12,1191.5
2015/5/13,1210.5
2015/5/14,1225
2015/5/15,1220.5
2015/5/18,1223.5
2015/5/19,1214.3
2015/5/20,1210.5
2015/5/21,1205
2015/5/22,1204.1
2015/5/26,1185.4
2015/5/27,1185.85
2015/5/28,1185
2015/5/29,1191.4
2015/6/1,1199.9
2015/6/2,1192.8
2015/6/3,1190
2015/6/4,1176
2015/6/5,1164.6
2015/6/8,1172.8
2015/6/9,1177.4
2015/6/10,1188.5
2015/6/11,1178.5
2015/6/12,1182.8
2015/6/15,1181.4
2015/6/16,1177.75
2015/6/17,1178
2015/6/18,1201.85
2015/6/19,1203.4
2015/6/22,1185.5
2015/6/23,1178
2015/6/24,1173.75
2015/6/25,1172.65
2015/6/26,1170.5
2015/6/29,1176
2015/6/30,1171
2015/7/1,1168
2015/7/2,1165.25
2015/7/3,1167.95
2015/7/6,1166
2015/7/7,1156.25
2015/7/8,1158.5
2015/7/9,1164.25
2015/7/10,1159.3
2015/7/13,1154
2015/7/14,1157.4
2015/7/15,1147.4
2015/7/16,1144.4
2015/7/17,1132.8
2015/7/20,1104.6
2015/7/21,1105.6
2015/7/22,1088.6
2015/7/23,1097.4
2015/7/24,1080.8
2015/7/27,1100
2015/7/28,1096.2
2015/7/29,1090.25
2015/7/30,1087.5
2015/7/31,1098.4
2015/8/3,1091.9
2015/8/4,1090.65
2015/8/5,1085.1
2015/8/6,1089.75
2015/8/7,1093.5
2015/8/10,1097
2015/8/11,1108.25
2015/8/12,1119
2015/8/13,1116.75
2015/8/14,1118.25
2015/8/17,1118.8
2015/8/18,1111.45
2015/8/19,1126.15
2015/8/20,1147.7
2015/8/21,1156.5
2015/8/24,1166.5
2015/8/25,1137.5
2015/8/26,1120.75
2015/8/27,1119
2015/8/28,1135
2015/9/1,1142.3
